maille_code;population
DEP-01;656 955
DEP-02;526 050
DEP-03;331 315
DEP-04;165 197
DEP-05;141 756
DEP-06;1 079 396
DEP-07;326 875
DEP-08;265 531
DEP-09;152 398
DEP-10;309 907
DEP-11;372 705
DEP-12;278 360
DEP-13;2 034 469
DEP-14;691 453
DEP-15;142 811
DEP-16;348 180
DEP-17;647 080
DEP-18;296 404
DEP-19;240 336
DEP-2A;162 421
DEP-2B;182 258
DEP-21;532 886
DEP-22;596 186
DEP-23;116 270
DEP-24;408 393
DEP-25;539 449
DEP-26;520 560
DEP-27;600 687
DEP-28;429 425
DEP-29;906 554
DEP-30;748 468
DEP-31;1 400 935
DEP-32;190 040
DEP-33;1 633 440
DEP-34;1 176 145
DEP-35;1 082 073
DEP-36;217 139
DEP-37;605 380
DEP-38;1 264 979
DEP-39;257 849
DEP-40;411 979
DEP-41;327 835
DEP-42;764 737
DEP-43;226 901
DEP-44;1 437 137
DEP-45;682 890
DEP-46;173 166
DEP-47;330 336
DEP-48;76 286
DEP-49;815 881
DEP-50;490 669
DEP-51;563 823
DEP-52;169 250
DEP-53;305 365
DEP-54;730 398
DEP-55;181 641
DEP-56;755 566
DEP-57;1 035 866
DEP-58;199 596
DEP-59;2 588 988
DEP-60;825 077
DEP-61;276 903
DEP-62;1 452 778
DEP-63;660 240
DEP-64;683 169
DEP-65;226 839
DEP-66;479 000
DEP-67;1 132 607
DEP-68;763 204
DEP-69;1 876 051
DEP-70;233 194
DEP-71;547 824
DEP-72;560 227
DEP-73;432 548
DEP-74;828 405
DEP-75;2 148 271
DEP-76;1 243 788
DEP-77;1 423 607
DEP-78;1 448 625
DEP-79;372 627
DEP-80;569 769
DEP-81;387 898
DEP-82;262 618
DEP-83;1 073 836
DEP-84;560 997
DEP-85;683 187
DEP-86;437 398
DEP-87;370 774
DEP-88;359 520
DEP-89;332 096
DEP-90;140 145
DEP-91;1 319 401
DEP-92;1 613 762
DEP-93;1 670 149
DEP-94;1 406 041
DEP-95;1 248 354
DEP-971;376 879
DEP-972;358 749
DEP-973;290 691
DEP-974;859 959
DEP-976;279 471
